order_id,item_id,quantity,unit_price,line_total
order_1,I008,2,89.99,179.98
order_1,I013,2,149.99,299.98
order_1,I015,5,39.99,199.95
order_1,I011,2,199.99,399.98
order_2,I005,3,899.99,2699.97
order_3,I011,2,199.99,399.98
order_4,I019,1,34.99,34.99
order_5,I009,2,249.99,499.98
order_5,I012,1,349.99,349.99
order_6,I022,5,45.99,229.95
order_7,I001,4,8.99,35.96
order_7,I014,1,129.99,129.99
order_7,I015,4,39.99,159.96
order_7,I022,6,45.99,275.94
order_7,I006,4,29.99,119.96
order_8,I016,8,19.99,159.92
order_9,I023,2,69.99,139.98
order_9,I007,4,12.99,51.96
order_9,I016,1,19.99,19.99
order_9,I013,6,149.99,899.94
order_10,I019,1,34.99,34.99
order_10,I022,1,45.99,45.99
order_11,I019,1,34.99,34.99
order_11,I011,4,199.99,799.96
order_12,I004,4,15.99,63.96
order_12,I018,8,24.99,199.92
order_13,I013,2,149.99,299.98
order_14,I016,6,19.99,119.94
order_14,I009,1,249.99,249.99
order_14,I007,3,12.99,38.97
order_15,I015,3,39.99,119.97
order_15,I001,8,8.99,71.92
order_15,I022,2,45.99,91.98
order_15,I013,2,149.99,299.98
order_16,I003,2,5.99,11.98
order_16,I009,2,249.99,499.98
order_17,I002,1,12.5,12.5
order_18,I006,4,29.99,119.96
order_19,I004,1,15.99,15.99
order_19,I001,3,8.99,26.97
order_19,I022,1,45.99,45.99
order_19,I006,1,29.99,29.99
order_19,I005,3,899.99,2699.97
order_20,I015,1,39.99,39.99
order_20,I004,4,15.99,63.96
order_21,I001,3,8.99,26.97
order_21,I011,1,199.99,199.99
order_22,I024,5,16.99,84.95
order_22,I018,2,24.99,49.98
order_23,I012,6,349.99,2099.94
order_23,I023,8,69.99,559.92
order_24,I012,1,349.99,349.99
order_24,I015,4,39.99,159.96
order_24,I016,2,19.99,39.98
order_25,I008,1,89.99,89.99
order_25,I010,3,59.99,179.97
order_25,I013,7,149.99,1049.93
order_25,I024,2,16.99,33.98
order_26,I019,1,34.99,34.99
order_27,I016,4,19.99,79.96
order_27,I017,5,12.99,64.95
order_27,I006,2,29.99,59.98
order_27,I012,1,349.99,349.99
order_28,I010,3,59.99,179.97
order_29,I001,5,8.99,44.95
order_29,I021,3,18.99,56.97
order_29,I023,6,69.99,419.94
order_30,I011,5,199.99,999.95
order_30,I007,1,12.99,12.99
order_30,I001,2,8.99,17.98
order_31,I017,1,12.99,12.99
order_31,I008,1,89.99,89.99
order_31,I018,2,24.99,49.98
order_31,I020,2,14.99,29.98
order_32,I005,1,899.99,899.99
order_32,I007,5,12.99,64.95
order_32,I004,3,15.99,47.97
order_32,I016,1,19.99,19.99
order_33,I021,5,18.99,94.95
order_33,I018,4,24.99,99.96
order_33,I003,6,5.99,35.94
order_33,I016,7,19.99,139.93
order_34,I009,1,249.99,249.99
order_34,I007,1,12.99,12.99
order_34,I011,4,199.99,799.96
order_34,I014,1,129.99,129.99
order_34,I006,1,29.99,29.99
order_35,I021,3,18.99,56.97
order_36,I022,4,45.99,183.96
order_36,I021,3,18.99,56.97
order_37,I002,6,12.5,75.0
order_37,I013,2,149.99,299.98
order_38,I011,1,199.99,199.99
order_39,I004,2,15.99,31.98
order_40,I016,1,19.99,19.99
order_40,I024,4,16.99,67.96
order_40,I001,1,8.99,8.99
order_40,I019,1,34.99,34.99
order_40,I012,3,349.99,1049.97
order_41,I022,3,45.99,137.97
order_41,I011,1,199.99,199.99
order_42,I015,6,39.99,239.94
order_43,I021,2,18.99,37.98
order_43,I017,1,12.99,12.99
order_43,I001,4,8.99,35.96
order_43,I022,6,45.99,275.94
order_44,I013,10,149.99,1499.9
order_44,I001,5,8.99,44.95
order_45,I012,3,349.99,1049.97
order_46,I006,1,29.99,29.99
order_47,I002,4,12.5,50.0
order_47,I007,5,12.99,64.95
order_47,I023,2,69.99,139.98
order_47,I024,5,16.99,84.95
order_48,I013,3,149.99,449.97
order_49,I001,1,8.99,8.99
order_50,I008,1,89.99,89.99
order_51,I011,2,199.99,399.98
order_52,I001,2,8.99,17.98
order_52,I018,3,24.99,74.97
order_53,I001,1,8.99,8.99
order_53,I016,1,19.99,19.99
order_53,I019,1,34.99,34.99
order_53,I024,6,16.99,101.94
order_54,I011,8,199.99,1599.92
order_54,I014,1,129.99,129.99
order_54,I022,1,45.99,45.99
order_55,I015,2,39.99,79.98
order_55,I020,1,14.99,14.99
order_55,I012,1,349.99,349.99
order_55,I009,1,249.99,249.99
order_56,I003,8,5.99,47.92
order_56,I005,1,899.99,899.99
order_56,I008,2,89.99,179.98
order_57,I017,1,12.99,12.99
order_57,I020,4,14.99,59.96
order_58,I009,5,249.99,1249.95
order_58,I021,5,18.99,94.95
order_58,I010,1,59.99,59.99
order_58,I019,7,34.99,244.93
order_59,I003,3,5.99,17.97
order_59,I023,3,69.99,209.97
order_59,I008,4,89.99,359.96
order_59,I005,2,899.99,1799.98
order_60,I014,2,129.99,259.98
order_61,I012,1,349.99,349.99
order_62,I001,2,8.99,17.98
order_62,I004,1,15.99,15.99
order_62,I020,1,14.99,14.99
order_62,I013,8,149.99,1199.92
order_63,I016,2,19.99,39.98
order_63,I006,8,29.99,239.92
order_64,I011,5,199.99,999.95
order_65,I023,2,69.99,139.98
order_65,I018,1,24.99,24.99
order_65,I015,1,39.99,39.99
order_65,I021,3,18.99,56.97
order_65,I013,2,149.99,299.98
order_66,I007,7,12.99,90.93
order_66,I024,1,16.99,16.99
order_67,I012,1,349.99,349.99
order_68,I008,1,89.99,89.99
order_68,I022,1,45.99,45.99
order_69,I002,1,12.5,12.5
order_70,I011,1,199.99,199.99
order_71,I019,2,34.99,69.98
order_71,I012,4,349.99,1399.96
order_72,I021,1,18.99,18.99
order_72,I011,2,199.99,399.98
order_72,I007,1,12.99,12.99
order_73,I007,6,12.99,77.94
order_73,I009,3,249.99,749.97
order_73,I012,10,349.99,3499.9
order_73,I013,4,149.99,599.96
order_74,I016,1,19.99,19.99
order_75,I011,4,199.99,799.96
order_75,I021,1,18.99,18.99
order_75,I006,1,29.99,29.99
order_75,I023,2,69.99,139.98
order_75,I003,1,5.99,5.99
order_76,I011,1,199.99,199.99
order_76,I015,7,39.99,279.93
order_76,I002,1,12.5,12.5
order_76,I017,1,12.99,12.99
order_77,I024,3,16.99,50.97
order_77,I023,2,69.99,139.98
order_77,I001,2,8.99,17.98
order_78,I003,4,5.99,23.96
order_78,I010,1,59.99,59.99
order_78,I017,1,12.99,12.99
order_78,I015,2,39.99,79.98
order_78,I013,1,149.99,149.99
order_79,I012,4,349.99,1399.96
order_80,I009,4,249.99,999.96
order_81,I011,3,199.99,599.97
order_81,I003,2,5.99,11.98
order_82,I001,2,8.99,17.98
order_83,I002,2,12.5,25.0
order_83,I020,6,14.99,89.94
order_83,I015,1,39.99,39.99
order_84,I012,1,349.99,349.99
order_85,I011,2,199.99,399.98
order_85,I018,3,24.99,74.97
order_85,I021,3,18.99,56.97
order_85,I010,3,59.99,179.97
order_86,I023,7,69.99,489.93
order_87,I009,4,249.99,999.96
order_88,I003,1,5.99,5.99
order_88,I022,3,45.99,137.97
order_89,I021,6,18.99,113.94
order_90,I021,3,18.99,56.97
order_90,I013,3,149.99,449.97
order_91,I003,7,5.99,41.93
order_91,I006,2,29.99,59.98
order_91,I008,6,89.99,539.94
order_92,I015,1,39.99,39.99
order_92,I007,1,12.99,12.99
order_93,I022,7,45.99,321.93
order_93,I015,2,39.99,79.98
order_94,I007,4,12.99,51.96
order_95,I010,2,59.99,119.98
order_95,I017,1,12.99,12.99
order_95,I006,6,29.99,179.94
order_96,I019,8,34.99,279.92
order_97,I007,1,12.99,12.99
order_97,I006,8,29.99,239.92
order_98,I007,3,12.99,38.97
order_99,I022,7,45.99,321.93
order_99,I001,1,8.99,8.99
order_99,I002,3,12.5,37.5
order_100,I003,4,5.99,23.96
order_101,I021,1,18.99,18.99
order_101,I008,1,89.99,89.99
order_102,I014,1,129.99,129.99
order_102,I013,8,149.99,1199.92
order_103,I017,3,12.99,38.97
order_103,I018,5,24.99,124.95
order_104,I023,2,69.99,139.98
order_104,I008,2,89.99,179.98
order_104,I002,1,12.5,12.5
order_105,I017,6,12.99,77.94
order_105,I019,4,34.99,139.96
order_106,I015,1,39.99,39.99
order_107,I009,1,249.99,249.99
order_108,I017,2,12.99,25.98
order_108,I024,2,16.99,33.98
order_109,I012,8,349.99,2799.92
order_110,I007,9,12.99,116.91
order_111,I014,1,129.99,129.99
order_111,I011,1,199.99,199.99
order_112,I011,2,199.99,399.98
order_113,I009,3,249.99,749.97
order_113,I015,3,39.99,119.97
order_113,I021,4,18.99,75.96
order_114,I023,4,69.99,279.96
order_114,I013,7,149.99,1049.93
order_114,I003,1,5.99,5.99
order_114,I001,6,8.99,53.94
order_115,I002,3,12.5,37.5
order_115,I016,5,19.99,99.95
order_115,I013,3,149.99,449.97
order_116,I021,2,18.99,37.98
order_116,I023,2,69.99,139.98
order_117,I009,7,249.99,1749.93
order_117,I013,7,149.99,1049.93
order_118,I023,1,69.99,69.99
order_119,I011,1,199.99,199.99
order_120,I017,7,12.99,90.93
order_120,I007,1,12.99,12.99
order_120,I001,4,8.99,35.96
order_120,I020,2,14.99,29.98
order_120,I014,4,129.99,519.96
order_121,I021,1,18.99,18.99
order_121,I017,2,12.99,25.98
order_122,I014,6,129.99,779.94
order_122,I013,5,149.99,749.95
order_122,I010,1,59.99,59.99
order_122,I008,2,89.99,179.98
order_123,I021,1,18.99,18.99
order_123,I011,2,199.99,399.98
order_123,I020,4,14.99,59.96
order_123,I019,5,34.99,174.95
order_123,I003,1,5.99,5.99
order_124,I008,6,89.99,539.94
order_124,I002,7,12.5,87.5
order_125,I021,3,18.99,56.97
order_125,I008,3,89.99,269.97
order_126,I017,10,12.99,129.9
order_126,I005,5,899.99,4499.95
order_127,I003,1,5.99,5.99
order_127,I022,6,45.99,275.94
order_127,I001,6,8.99,53.94
order_127,I002,7,12.5,87.5
order_127,I021,2,18.99,37.98
order_128,I019,1,34.99,34.99
order_128,I017,2,12.99,25.98
order_129,I002,1,12.5,12.5
order_130,I024,5,16.99,84.95
order_130,I011,3,199.99,599.97
order_130,I003,1,5.99,5.99
order_130,I006,5,29.99,149.95
order_130,I001,1,8.99,8.99
order_131,I020,6,14.99,89.94
order_131,I022,1,45.99,45.99
order_132,I010,4,59.99,239.96
order_132,I021,3,18.99,56.97
order_133,I024,1,16.99,16.99
order_134,I002,7,12.5,87.5
order_134,I022,7,45.99,321.93
order_134,I015,2,39.99,79.98
order_135,I020,7,14.99,104.93
order_135,I001,3,8.99,26.97
order_136,I021,3,18.99,56.97
order_136,I019,2,34.99,69.98
order_136,I004,1,15.99,15.99
order_137,I020,2,14.99,29.98
order_137,I019,1,34.99,34.99
order_137,I014,5,129.99,649.95
order_138,I017,1,12.99,12.99
order_139,I008,3,89.99,269.97
order_140,I002,4,12.5,50.0
order_140,I017,1,12.99,12.99
order_141,I014,5,129.99,649.95
order_142,I024,2,16.99,33.98
order_142,I016,1,19.99,19.99
order_143,I023,2,69.99,139.98
order_144,I023,1,69.99,69.99
order_144,I001,1,8.99,8.99
order_144,I024,2,16.99,33.98
order_145,I006,6,29.99,179.94
order_145,I012,3,349.99,1049.97
order_145,I005,1,899.99,899.99
order_146,I011,1,199.99,199.99
order_146,I017,1,12.99,12.99
order_147,I014,5,129.99,649.95
order_148,I006,1,29.99,29.99
order_148,I019,5,34.99,174.95
order_149,I003,4,5.99,23.96
order_149,I022,2,45.99,91.98
order_149,I005,2,899.99,1799.98
order_150,I019,1,34.99,34.99
order_150,I005,5,899.99,4499.95
order_150,I007,2,12.99,25.98
order_150,I011,4,199.99,799.96
order_151,I024,2,16.99,33.98
order_152,I007,7,12.99,90.93
order_152,I017,6,12.99,77.94
order_152,I024,2,16.99,33.98
order_152,I021,2,18.99,37.98
order_152,I002,2,12.5,25.0
order_153,I012,3,349.99,1049.97
order_153,I004,2,15.99,31.98
order_154,I012,8,349.99,2799.92
order_154,I021,1,18.99,18.99
order_154,I018,8,24.99,199.92
order_154,I015,5,39.99,199.95
order_154,I024,7,16.99,118.93
order_155,I009,1,249.99,249.99
order_156,I008,6,89.99,539.94
order_156,I013,1,149.99,149.99
order_156,I012,1,349.99,349.99
order_157,I020,3,14.99,44.97
order_157,I005,4,899.99,3599.96
order_158,I017,7,12.99,90.93
order_158,I024,4,16.99,67.96
order_159,I024,5,16.99,84.95
order_159,I009,3,249.99,749.97
order_159,I023,1,69.99,69.99
order_159,I021,2,18.99,37.98
order_159,I013,1,149.99,149.99
order_160,I013,2,149.99,299.98
order_160,I010,3,59.99,179.97
order_160,I019,4,34.99,139.96
order_161,I006,4,29.99,119.96
order_161,I015,1,39.99,39.99
order_161,I023,4,69.99,279.96
order_162,I002,1,12.5,12.5
order_162,I021,5,18.99,94.95
order_162,I017,2,12.99,25.98
order_163,I007,5,12.99,64.95
order_164,I024,2,16.99,33.98
order_165,I019,1,34.99,34.99
order_165,I016,5,19.99,99.95
order_166,I009,7,249.99,1749.93
order_166,I008,1,89.99,89.99
order_167,I009,2,249.99,499.98
order_168,I009,2,249.99,499.98
order_168,I021,1,18.99,18.99
order_169,I012,4,349.99,1399.96
order_170,I012,2,349.99,699.98
order_171,I021,5,18.99,94.95
order_172,I014,2,129.99,259.98
order_173,I003,8,5.99,47.92
order_174,I014,1,129.99,129.99
order_174,I004,3,15.99,47.97
order_174,I003,2,5.99,11.98
order_174,I006,2,29.99,59.98
order_175,I003,1,5.99,5.99
order_175,I018,4,24.99,99.96
order_176,I018,1,24.99,24.99
order_176,I002,1,12.5,12.5
order_176,I010,2,59.99,119.98
order_176,I024,2,16.99,33.98
order_177,I020,1,14.99,14.99
order_177,I024,1,16.99,16.99
order_178,I018,1,24.99,24.99
order_178,I011,3,199.99,599.97
order_178,I007,2,12.99,25.98
order_179,I023,4,69.99,279.96
order_179,I017,4,12.99,51.96
order_179,I016,4,19.99,79.96
order_180,I020,1,14.99,14.99
order_180,I013,5,149.99,749.95
order_181,I003,2,5.99,11.98
order_182,I015,3,39.99,119.97
order_183,I019,1,34.99,34.99
order_184,I017,1,12.99,12.99
order_185,I021,1,18.99,18.99
order_185,I008,2,89.99,179.98
order_185,I003,8,5.99,47.92
order_186,I008,4,89.99,359.96
order_187,I006,1,29.99,29.99
order_188,I024,2,16.99,33.98
order_188,I012,2,349.99,699.98
order_189,I004,6,15.99,95.94
order_189,I020,2,14.99,29.98
order_189,I016,3,19.99,59.97
order_190,I004,6,15.99,95.94
order_191,I023,3,69.99,209.97
order_192,I020,2,14.99,29.98
order_192,I024,3,16.99,50.97
order_193,I024,3,16.99,50.97
order_193,I023,1,69.99,69.99
order_194,I003,2,5.99,11.98
order_194,I016,7,19.99,139.93
order_194,I012,1,349.99,349.99
order_195,I015,6,39.99,239.94
order_195,I005,2,899.99,1799.98
order_195,I014,4,129.99,519.96
order_196,I013,7,149.99,1049.93
order_197,I022,4,45.99,183.96
order_198,I023,2,69.99,139.98
order_199,I008,8,89.99,719.92
order_200,I004,1,15.99,15.99
order_201,I007,1,12.99,12.99
order_201,I005,2,899.99,1799.98
order_202,I006,4,29.99,119.96
order_202,I017,2,12.99,25.98
order_202,I008,1,89.99,89.99
order_202,I011,2,199.99,399.98
order_202,I020,3,14.99,44.97
order_203,I009,3,249.99,749.97
order_204,I015,4,39.99,159.96
order_205,I016,1,19.99,19.99
order_205,I010,6,59.99,359.94
order_205,I023,1,69.99,69.99
order_206,I017,2,12.99,25.98
order_207,I024,1,16.99,16.99
order_208,I018,4,24.99,99.96
order_208,I006,1,29.99,29.99
order_209,I019,1,34.99,34.99
order_210,I005,2,899.99,1799.98
order_211,I007,1,12.99,12.99
order_211,I022,1,45.99,45.99
order_211,I001,4,8.99,35.96
order_212,I009,7,249.99,1749.93
order_213,I008,7,89.99,629.93
order_214,I008,2,89.99,179.98
order_214,I012,8,349.99,2799.92
order_214,I018,4,24.99,99.96
order_215,I011,3,199.99,599.97
order_216,I013,5,149.99,749.95
order_216,I007,1,12.99,12.99
order_217,I013,7,149.99,1049.93
order_218,I019,2,34.99,69.98
order_219,I011,1,199.99,199.99
order_220,I002,4,12.5,50.0
order_221,I002,5,12.5,62.5
order_221,I016,3,19.99,59.97
order_221,I008,5,89.99,449.95
order_221,I014,1,129.99,129.99
order_221,I017,3,12.99,38.97
order_222,I022,4,45.99,183.96
order_222,I006,1,29.99,29.99
order_222,I024,3,16.99,50.97
order_222,I012,7,349.99,2449.93
order_222,I023,5,69.99,349.95
order_223,I011,3,199.99,599.97
order_223,I017,2,12.99,25.98
order_224,I019,1,34.99,34.99
