order_id,on_time_delivery,on_time_delivery_normalized,days_sales_outstanding,days_sales_outstanding_normalized,order_accuracy,order_accuracy_normalized,invoice_accuracy,invoice_accuracy_normalized,avg_cost_delivery,avg_cost_delivery_normalized
order_1,91.49,0.9149,32,0.3556,95.62,0.9562,96.57,0.9657,21.53,0.2153
order_10,89.3,0.893,36,0.4,95.92,0.9592,90.59,0.9059,23.09,0.2309
order_100,88.61,0.8861,31,0.3444,94.6,0.946,86.26,0.8626,18.55,0.1855
order_1000,88.31,0.8831,29,0.3222,94.79,0.9479,89.28,0.8928,19.18,0.1918
order_1001,94.4,0.944,31,0.3444,94.17,0.9417,87.73,0.8773,20.91,0.2091
order_1002,90.33,0.9033,29,0.3222,94.94,0.9494,90.2,0.902,21.42,0.2142
order_1003,88.19,0.8819,37,0.4111,93.97,0.9397,88.83,0.8883,23.65,0.2365
order_1004,86.34,0.8634,33,0.3667,89.1,0.891,88.02,0.8802,22.39,0.2239
order_1005,92.22,0.9222,32,0.3556,93.71,0.9371,91.1,0.911,19.04,0.1904
order_1006,87.84,0.8784,31,0.3444,96.64,0.9664,93.03,0.9303,18.47,0.1847
order_1007,90.97,0.9097,31,0.3444,92.31,0.9231,93.84,0.9384,24.06,0.2406
order_1008,92.79,0.9279,30,0.3333,93.23,0.9323,92.99,0.9299,23.95,0.2395
order_1009,88.56,0.8856,32,0.3556,91.23,0.9123,88.41,0.8841,23.63,0.2363
order_101,85.85,0.8585,41,0.4556,83.02,0.8302,72.89,0.7289,34.13,0.3413
order_1010,91.08,0.9108,36,0.4,93.91,0.9391,96.69,0.9669,16.76,0.1676
order_1011,92.47,0.9247,32,0.3556,93.25,0.9325,92.28,0.9228,18.02,0.1802
order_1012,89.34,0.8934,33,0.3667,97.69,0.9769,90.45,0.9045,20.38,0.2038
order_1013,88.49,0.8849,34,0.3778,94.82,0.9482,90.41,0.9041,23.03,0.2303
order_1014,90.29,0.9029,34,0.3778,92.24,0.9224,91.02,0.9102,21.22,0.2122
order_1015,85.61,0.8561,33,0.3667,94.65,0.9465,92.02,0.9202,21.53,0.2153
order_1016,85.75,0.8575,31,0.3444,93.14,0.9314,89.59,0.8959,21.68,0.2168
order_1017,91.21,0.9121,37,0.4111,94.44,0.9444,92.77,0.9277,21.85,0.2185
order_1018,84.24,0.8424,32,0.3556,94.15,0.9415,99.39,0.9939,21.62,0.2162
order_1019,90.9,0.909,32,0.3556,91.08,0.9108,95.43,0.9543,23.5,0.235
order_102,81.33,0.8133,36,0.4,85.82,0.8582,58.79,0.5879,41.52,0.4152
order_1020,92.52,0.9252,35,0.3889,72.04,0.7204,70.8,0.708,34.98,0.3498
order_1021,85.35,0.8535,32,0.3556,91.34,0.9134,93.42,0.9342,20.16,0.2016
order_1022,87.4,0.874,36,0.4,73.75,0.7375,76.51,0.7651,30.61,0.3061
order_1023,90.68,0.9068,35,0.3889,89.98,0.8998,92.55,0.9255,22.52,0.2252
order_1024,92.35,0.9235,29,0.3222,90.7,0.907,93.57,0.9357,22.59,0.2259
order_1025,90.75,0.9075,33,0.3667,92.3,0.923,92.7,0.927,22.59,0.2259
order_1026,87.86,0.8786,37,0.4111,95.18,0.9518,88.43,0.8843,23.31,0.2331
