order_id,user_id
order_1,U001
order_1,U004
order_1,U006
order_1,U002
order_2,U003
order_2,U001
order_2,U004
order_2,U002
order_3,U003
order_3,U001
order_3,U004
order_3,U006
order_4,U003
order_4,U001
order_4,U004
order_4,U002
order_5,U001
order_5,U004
order_5,U006
order_5,U005
order_6,U003
order_6,U001
order_6,U006
order_6,U002
order_7,U003
order_7,U004
order_7,U002
order_7,U005
order_8,U003
order_8,U004
order_8,U006
order_8,U002
order_9,U003
order_9,U001
order_9,U006
order_9,U002
order_10,U003
order_10,U004
order_10,U002
order_10,U006
order_11,U001
order_11,U002
order_11,U006
order_11,U005
order_12,U003
order_12,U001
order_12,U004
order_12,U005
order_13,U003
order_13,U001
order_13,U006
order_13,U002
order_14,U001
order_14,U006
order_14,U002
order_14,U005
order_15,U003
order_15,U004
order_15,U002
order_15,U006
order_16,U003
order_16,U004
order_16,U006
order_16,U002
order_17,U003
order_17,U001
order_17,U004
order_17,U002
order_18,U003
order_18,U001
order_18,U004
order_18,U002
order_19,U001
order_19,U004
order_19,U002
order_19,U005
order_20,U003
order_20,U001
order_20,U004
order_20,U002
order_21,U001
order_21,U004
order_21,U002
order_21,U005
order_22,U001
order_22,U006
order_22,U002
order_22,U005
order_23,U003
order_23,U001
order_23,U006
order_23,U002
order_24,U003
order_24,U001
order_24,U006
order_24,U002
order_25,U001
order_25,U002
order_26,U003
order_26,U001
order_26,U006
order_26,U002
order_27,U004
order_27,U006
order_27,U002
order_27,U005
order_28,U003
order_28,U004
order_28,U006
order_28,U002
order_29,U001
order_29,U004
order_29,U006
order_29,U002
order_30,U003
order_30,U004
order_30,U002
order_30,U006
order_31,U003
order_31,U004
order_31,U002
order_31,U006
order_32,U003
order_32,U001
order_32,U004
order_32,U005
order_33,U003
order_33,U001
order_33,U004
order_33,U002
order_34,U003
order_34,U001
order_34,U004
order_34,U005
order_35,U003
order_35,U004
order_35,U002
order_35,U005
order_36,U003
order_36,U001
order_36,U004
order_36,U006
order_37,U001
order_37,U002
order_38,U001
order_38,U002
order_39,U003
order_39,U001
order_39,U002
order_39,U005
order_40,U003
order_40,U004
order_40,U006
order_40,U002
order_41,U001
order_41,U004
order_41,U006
order_41,U002
order_42,U003
order_42,U001
order_42,U004
order_42,U002
order_43,U001
order_43,U006
order_43,U002
order_43,U005
order_44,U005
order_44,U004
order_44,U002
order_44,U006
order_45,U002
order_45,U004
order_45,U006
order_45,U005
order_46,U003
order_46,U004
order_46,U006
order_46,U002
order_47,U003
order_47,U001
order_47,U002
order_47,U005
order_48,U001
order_48,U002
order_49,U003
order_49,U001
order_49,U002
order_49,U005
order_50,U003
order_50,U001
order_50,U004
order_50,U002
order_51,U003
order_51,U001
order_51,U004
order_51,U002
order_52,U003
order_52,U002
order_52,U006
order_52,U005
order_53,U003
order_53,U001
order_53,U006
order_53,U002
order_54,U003
order_54,U001
order_54,U004
order_54,U002
order_55,U003
order_55,U004
order_55,U006
order_55,U002
order_56,U003
order_56,U001
order_56,U004
order_56,U006
order_57,U003
order_57,U001
order_57,U004
order_57,U006
order_58,U003
order_58,U006
order_58,U002
order_58,U005
order_59,U003
order_59,U001
order_59,U004
order_59,U002
order_60,U003
order_60,U004
order_60,U002
order_60,U006
order_61,U003
order_61,U004
order_61,U006
order_61,U002
order_62,U001
order_62,U006
order_62,U002
order_63,U001
order_63,U004
order_63,U006
order_63,U002
order_64,U003
order_64,U001
order_64,U004
order_64,U002
order_65,U003
order_65,U001
order_65,U006
order_65,U002
order_66,U005
order_66,U004
order_66,U002
order_66,U006
order_67,U003
order_67,U002
order_67,U006
order_67,U005
order_68,U003
order_68,U001
order_68,U006
order_68,U005
order_69,U003
order_69,U001
order_69,U002
order_69,U005
order_70,U001
order_70,U004
order_70,U002
order_70,U005
order_71,U003
order_71,U001
order_71,U006
order_71,U005
order_72,U003
order_72,U001
order_72,U006
order_72,U005
order_73,U003
order_73,U001
order_73,U002
order_73,U005
order_74,U001
order_74,U004
order_74,U002
order_74,U005
order_75,U003
order_75,U004
order_75,U002
order_75,U005
order_76,U001
order_76,U004
order_76,U006
order_76,U005
order_77,U001
order_77,U004
order_77,U002
order_77,U005
order_78,U001
order_78,U004
order_78,U002
order_78,U006
order_79,U003
order_79,U004
order_79,U002
order_79,U006
order_80,U003
order_80,U006
order_80,U002
order_80,U005
order_81,U003
order_81,U001
order_81,U004
order_81,U005
order_82,U003
order_82,U001
order_82,U004
order_82,U002
order_83,U001
order_83,U004
order_83,U002
order_83,U006
order_84,U001
order_84,U002
order_85,U003
order_85,U001
order_85,U004
order_85,U006
order_86,U003
order_86,U001
order_86,U006
order_86,U002
order_87,U001
order_87,U002
order_88,U003
order_88,U001
order_88,U006
order_88,U002
order_89,U001
order_89,U004
order_89,U006
order_89,U002
order_90,U001
order_90,U004
order_90,U002
order_90,U006
order_91,U003
order_91,U001
order_91,U002
order_91,U005
order_92,U003
order_92,U001
order_92,U004
order_92,U005
order_93,U001
order_93,U004
order_93,U002
order_93,U005
order_94,U003
order_94,U001
order_94,U006
order_94,U002
order_95,U003
order_95,U001
order_95,U004
order_95,U006
order_96,U003
order_96,U001
order_96,U004
order_96,U002
order_97,U003
order_97,U001
order_97,U004
order_97,U006
order_98,U003
order_98,U004
order_98,U006
order_98,U002
order_99,U003
order_99,U004
order_99,U006
order_99,U002
order_100,U001
order_100,U004
order_100,U006
order_100,U005
order_101,U003
order_101,U001
order_101,U002
order_101,U005
order_102,U001
order_102,U002
order_103,U005
order_103,U004
order_103,U006
order_103,U002
order_104,U003
order_104,U001
order_104,U004
order_104,U006
order_105,U003
order_105,U005
order_105,U006
order_105,U002
order_106,U001
order_106,U006
order_106,U002
order_106,U005
order_107,U001
order_107,U002
order_108,U003
order_108,U001
order_108,U004
order_108,U006
order_109,U003
order_109,U001
order_109,U002
order_109,U005
order_110,U003
order_110,U001
order_110,U004
order_110,U006
order_111,U001
order_111,U004
order_111,U006
order_111,U002
order_112,U003
order_112,U001
order_112,U006
order_112,U002
order_113,U003
order_113,U004
order_113,U002
order_113,U005
order_114,U001
order_114,U004
order_114,U006
order_114,U002
order_115,U003
order_115,U001
order_115,U002
order_115,U005
order_116,U001
order_116,U006
order_116,U002
order_116,U005
order_117,U003
order_117,U004
order_117,U006
order_117,U002
order_118,U001
order_118,U004
order_118,U006
order_118,U005
order_119,U003
order_119,U001
order_119,U006
order_119,U005
order_120,U003
order_120,U004
order_120,U006
order_120,U002
order_121,U001
order_121,U004
order_121,U002
order_121,U006
order_122,U003
order_122,U001
order_122,U004
order_122,U006
order_123,U003
order_123,U004
order_123,U006
order_123,U002
order_124,U001
order_124,U004
order_124,U006
order_124,U005
order_125,U003
order_125,U001
order_125,U002
order_125,U005
order_126,U001
order_126,U002
order_127,U001
order_127,U004
order_127,U002
order_127,U006
order_128,U003
order_128,U001
order_128,U006
order_128,U002
order_129,U001
order_129,U004
order_129,U002
order_129,U005
order_130,U003
order_130,U004
order_130,U006
order_130,U005
order_131,U003
order_131,U001
order_131,U006
order_131,U005
order_132,U003
order_132,U001
order_132,U002
order_132,U005
order_133,U003
order_133,U001
order_133,U002
order_133,U005
order_134,U001
order_134,U004
order_134,U002
order_134,U005
order_135,U001
order_135,U005
order_135,U006
order_135,U002
order_136,U003
order_136,U001
order_136,U006
order_136,U002
order_137,U001
order_137,U004
order_137,U002
order_137,U005
order_138,U001
order_138,U002
order_139,U003
order_139,U004
order_139,U002
order_139,U005
order_140,U001
order_140,U006
order_140,U002
order_140,U005
order_141,U001
order_141,U002
order_141,U006
order_141,U005
order_142,U001
order_142,U004
order_142,U002
order_142,U005
order_143,U003
order_143,U004
order_143,U006
order_143,U002
order_144,U005
order_144,U004
order_144,U006
order_144,U002
order_145,U003
order_145,U001
order_145,U004
order_145,U002
order_146,U001
order_146,U004
order_146,U006
order_146,U002
order_147,U003
order_147,U004
order_147,U002
order_147,U005
order_148,U001
order_148,U002
order_149,U003
order_149,U006
order_149,U002
order_149,U005
order_150,U003
order_150,U001
order_150,U004
order_150,U006
order_151,U003
order_151,U001
order_151,U004
order_151,U002
order_152,U001
order_152,U004
order_152,U002
order_152,U005
order_153,U003
order_153,U001
order_153,U006
order_153,U002
order_154,U001
order_154,U004
order_154,U006
order_154,U002
order_155,U001
order_155,U002
order_155,U006
order_155,U005
order_156,U001
order_156,U004
order_156,U002
order_156,U006
order_157,U003
order_157,U001
order_157,U004
order_157,U002
order_158,U003
order_158,U001
order_158,U006
order_158,U002
order_159,U003
order_159,U001
order_159,U006
order_159,U007
order_160,U003
order_160,U006
order_160,U002
order_160,U005
order_161,U001
order_161,U004
order_161,U006
order_161,U005
order_162,U001
order_162,U004
order_162,U002
order_162,U007
order_163,U001
order_163,U004
order_163,U002
order_163,U005
order_164,U003
order_164,U004
order_164,U002
order_164,U006
order_165,U003
order_165,U001
order_165,U002
order_165,U005
order_166,U003
