order_id,order_value,order_status,order_value_original,num_items,total_quantity,total_value,num_users,num_suppliers
order_1,1079.89,Approved,32331.913124436305,4,11,1079.89,4,3
order_2,2699.97,Approved,2225.5270059106797,1,3,2699.97,4,1
order_3,399.98,Approved,14476.436600086843,1,2,399.98,4,1
order_4,34.99,Approved,11937.326169292315,1,1,34.99,4,1
order_5,849.97,Approved,37087.089494036605,2,3,849.97,4,2
order_6,229.95,Approved,34158.27488372265,1,5,229.95,4,1
order_7,721.81,Approved,44716.79881753743,5,19,721.8100000000001,4,4
order_8,159.92,Approved,5260.002798841391,1,8,159.92,4,1
order_9,1111.87,Approved,21674.169164578252,4,13,1111.8700000000001,4,4
order_10,80.98,Approved,2460.0637524654467,2,2,80.98,4,2
order_11,834.95,Approved,11713.260765376564,2,5,834.95,4,2
order_12,263.88,Approved,25762.409117064755,2,12,263.88,4,2
order_13,299.98,Approved,2300.262514509318,1,2,299.98,4,1
order_14,408.9,Approved,10743.044883645776,3,10,408.9,4,3
order_15,583.85,Approved,32844.33745119664,4,15,583.85,4,4
order_16,511.96,Approved,27702.132549557617,2,4,511.96000000000004,4,2
order_17,12.5,Approved,11801.590479994138,1,1,12.5,4,1
order_18,119.96,Approved,29874.018509919526,1,4,119.96,4,1
order_19,2818.91,Approved,40662.09237721351,5,9,2818.91,4,5
order_20,103.95,Approved,1318.4392242249899,2,5,103.95,4,2
order_21,226.96,Approved,40485.14333980759,2,4,226.96,4,2
order_22,134.93,Approved,35208.83035442312,2,7,134.93,4,2
order_23,2659.86,Approved,17672.275309381603,2,14,2659.86,4,2
order_24,549.93,Approved,8618.495490777295,3,7,549.9300000000001,4,3
order_25,1353.87,Rejected,47903.44053813228,4,13,1353.8700000000001,2,4
order_26,34.99,Approved,17493.132710518712,1,1,34.99,4,1
order_27,554.88,Approved,5544.546325627248,4,12,554.88,4,4
order_28,179.97,Approved,5739.102464839737,1,3,179.97,4,1
order_29,521.86,Approved,42527.22395102553,3,14,521.86,4,3
order_30,1030.92,Approved,30582.575536977663,3,8,1030.92,4,2
order_31,182.94,Approved,40549.28539044463,4,6,182.94,4,4
order_32,1032.9,Approved,36756.857547997075,4,10,1032.9,4,4
order_33,370.78,Approved,27275.176481280338,4,22,370.78,4,4
order_34,1222.92,Approved,48682.67243498916,5,8,1222.92,4,5
order_35,56.97,Approved,19548.18448320932,1,3,56.97,4,1
order_36,240.93,Approved,28049.990932388122,2,7,240.93,4,2
order_37,374.98,Rejected,41640.82854839675,2,8,374.98,2,2
order_38,199.99,Rejected,31307.467865848055,1,1,199.99,2,1
order_39,31.98,Approved,43223.63811522808,1,2,31.98,4,1
order_40,1181.9,Approved,29290.25511758134,5,10,1181.9,4,4
order_41,337.96,Approved,35524.01997453125,2,4,337.96000000000004,4,2
order_42,239.94,Approved,3245.3947991274486,1,6,239.94,4,1
